Age,Population
0,1387531
1,1497557
2,1454670
3,1397003
4,1356243
5,1326874
6,1308558
7,1297384
8,1252088
9,1226373
10,1216890
11,1162070
12,1117176
13,1103999
14,1088249
15,1078863
16,1077567
17,1096580
18,1106969
19,1099018
20,1141199
21,1190367
22,1275383
23,1350629
24,1435301
25,1576503
26,1615661
27,1672978
28,1669665
29,1666326
30,1821329
31,1771447
32,1785042
33,1652253
34,1570842
35,1622891
36,1489176
37,1396916
38,1306295
39,1222320
40,1218109
41,1132758
42,1090431
43,1064746
44,1012263
45,1097851
46,994578
47,972960
48,932132
49,835602
50,875688
51,773360
52,775853
53,765546
54,735524
55,754928
56,687930
57,670304
58,649790
59,587641
60,587047
61,543223
62,494480
63,475055
64,442768
65,435306
66,345796
67,343447
68,301588
69,285327
70,286838
71,250301
72,243913
73,206925
74,189648
75,203391
76,180318
77,169876
78,168306
79,164501
80,175479
81,132589
82,124366
83,114667
84,99632
85,98385
86,67087
87,55737
88,49818
89,41457
90,39492
91,28634
92,19496
93,14398
94,9555
95,9408
96,3941
97,2507
98,1662
99,1159
Over 100,6568
